location,SPI,frequency
"Albany, Gentry County, MO",-1.9,8
"Auxvasse, Audrain County, MO",-1.9,13
"Brunswick, Carroll County, MO",-1.9,10
"Cardwell, Dunklin County, MO",-1.9,14
"Charleston, Mississippi County, MO",-1.9,13
"Clarkton, Dunklin County, MO",-1.9,10
"Columbia-Sanborn Field, Boone County, MO",-1.9,11
"Columbia-South Farms, Boone County, MO",-1.9,14
"Cook Station, Crawford County, MO",-1.9,13
"Corning, Atchison County, MO",-1.9,9
"Delta, Cape Girardeau County, MO",-1.9,12
"Glennonville, Dunklin County, MO",-1.9,10
"Hayward, Pemiscot County, MO",-1.9,12
"Lamar, Barton County, MO",-1.9,10
"Linneus, Linn County, MO",-1.9,12
"Monroe City, Monroe County, MO",-1.9,10
"Novelty, Knox County, MO",-1.9,10
"Portageville, Pemiscot County, MO",-1.9,11
"St. Joseph, Buchanan County, MO",-1.9,12
